videoid,contentUrl,duration,page_dir,name
28201213,https://ak.picdn.net/shutterstock/videos/28201213/preview/stock-footage-aerial-drone-footage-of-panoramic-view-of-village-cefalu-in-sicily-italy.mp4,PT00H00M14S,002101_002150,"Aerial drone footage of panoramic view of village cefalu in sicily, italy"
1043489227,https://ak.picdn.net/shutterstock/videos/1043489227/preview/stock-footage-cars-traffic-over-the-bridge-across-the-river.mp4,PT00H00M33S,048601_048650,Cars traffic over the bridge across the river
1037060288,https://ak.picdn.net/shutterstock/videos/1037060288/preview/stock-footage-punjab-fields-near-sargodha-punjab.mp4,PT00H00M08S,037501_037550,Punjab fields near sargodha punjab
16175383,https://ak.picdn.net/shutterstock/videos/16175383/preview/stock-footage-berlin-germany-april-the-oberbaum-bridge-oberbaumbruecke-in-berlin-germany-the.mp4,PT00H00M43S,094001_094050,"Berlin, germany - april 21, 2016: the oberbaum bridge (oberbaumbruecke) in berlin, germany. the bridge was a former checkpoint between east and west berlin and connects kreuzberg with friedrichshain."
1026810176,https://ak.picdn.net/shutterstock/videos/1026810176/preview/stock-footage-los-angeles-march-aerial-footage-deloitte-tower-downtown-los-angeles-ca.mp4,PT00H00M29S,005451_005500,Los angeles - march 2019: aerial footage deloitte tower downtown los angeles ca
14293738,https://ak.picdn.net/shutterstock/videos/14293738/preview/stock-footage-ferry-passenger-terminals-and-docks-provide-water-access-to-an-amusement-park-with-a-giant-ferris.mp4,PT00H00M08S,051551_051600,Ferry passenger terminals and docks provide water access to an amusement park with a giant ferris wheel as well as the rest of hong kong's urban center.
24870311,https://ak.picdn.net/shutterstock/videos/24870311/preview/stock-footage-traditional-set-of-door-keys-with-wooden-key-ring-lay-strewn-on-glass-table-with-trees-reflected.mp4,PT00H00M11S,175401_175450,"Traditional set of door keys with wooden key ring lay strewn on glass table, with trees reflected in the clean polished glass"
1058111464,https://ak.picdn.net/shutterstock/videos/1058111464/preview/stock-footage-elderly-successful-business-woman-sitting-on-the-sofa-and-talking-on-video-call-using-smartphone.mp4,PT00H00M24S,067101_067150,Elderly successful business woman sitting on the sofa and talking on video call using smartphone
1019629651,https://ak.picdn.net/shutterstock/videos/1019629651/preview/stock-footage-close-up-beautiful-sparkler-burning-with-sparks-and-flames-on-the-black-background-with-christmas.mp4,PT00H00M22S,140251_140300,Close up beautiful sparkler burning with sparks and flames on the black background with christmas lights. woman holding sparkler in hands. new year concept. slow motion
31202140,https://ak.picdn.net/shutterstock/videos/31202140/preview/stock-footage-nice-rose-close-up.mp4,PT00H00M23S,185451_185500,Nice rose close up
1053784475,https://ak.picdn.net/shutterstock/videos/1053784475/preview/stock-footage-man-in-blue-protective-suit-in-the-hotel-sprays-pool-sunbeds-and-hotel-rooms-to-prevent-the.mp4,PT00H00M12S,146501_146550,"Man in blue protective suit in the hotel sprays pool,sunbeds and hotel rooms to prevent the contamination of corona virus"
1040532149,https://ak.picdn.net/shutterstock/videos/1040532149/preview/stock-footage-young-attractive-woman-throwing-a-lot-of-money-in-the-air-in-park-girl-enjoys-of-cash-huge-wealth.mp4,PT00H00M21S,091401_091450,Young attractive woman throwing a lot of money in the air in park. girl enjoys of cash. huge wealth of money. employee salary. cash money payment. successful business concept. 4k footage
1029885572,https://ak.picdn.net/shutterstock/videos/1029885572/preview/stock-footage-aerial-shot-of-helsinki-shot-slowlyes-forward.mp4,PT00H00M23S,109901_109950,Aerial shot of helsinki. shot slowlyes forward.
762787,https://ak.picdn.net/shutterstock/videos/762787/preview/stock-footage-blue-flower-pattern-kaleidoscope.mp4,PT00H00M20S,071051_071100,"Blue flower pattern,kaleidoscope"
1048339093,https://ak.picdn.net/shutterstock/videos/1048339093/preview/stock-footage-advanced-builders-in-protective-orange-outfit-stand-on-floor-mounting-suspended-wall-panel-in.mp4,PT00H00M11S,187201_187250,Advanced builders in protective orange outfit stand on floor mounting suspended wall panel in building low angle shot
1055271782,https://ak.picdn.net/shutterstock/videos/1055271782/preview/stock-footage-sun-rays-are-shining-through-the-leaves.mp4,PT00H00M10S,026701_026750,Sun rays are shining through the leaves
31866541,https://ak.picdn.net/shutterstock/videos/31866541/preview/stock-footage-buffet-sliced-hot-beef-steak.mp4,PT00H00M10S,059901_059950,Buffet sliced hot beef steak.
12048230,https://ak.picdn.net/shutterstock/videos/12048230/preview/stock-footage-italy-october-wide-shot-of-a-small-boat-docked-in-calm-bay.mp4,PT00H00M16S,146601_146650,"Italy - october, 2012: wide shot of a small boat docked in calm bay"
21307489,https://ak.picdn.net/shutterstock/videos/21307489/preview/stock-footage-dramatic-red-sunrise-on-dark-cloudy-sky-zoom-timelapse.mp4,PT00H00M18S,064901_064950,"Dramatic red sunrise on dark cloudy sky, zoom timelapse"
981883,https://ak.picdn.net/shutterstock/videos/981883/preview/stock-footage-happy-boy-touching-wooden-model-of-ship-on-white-background.mp4,PT00H00M13S,133151_133200,Happy boy touching wooden model of ship on white background
1018371253,https://ak.picdn.net/shutterstock/videos/1018371253/preview/stock-footage-winter-christmas-holiday-space-xmas-food-and-k-concept-close-up-young-couple-christmas.mp4,PT00H00M12S,120301_120350,"Winter, christmas, holiday, space, xmas, food and 4k concept - close up young couple christmas gifts festive sofa. cheerful girl is drinking champagne, and the guy is sad at this time."
1013601524,https://ak.picdn.net/shutterstock/videos/1013601524/preview/stock-footage-icebergs-in-j-kuls-rl-n-a-glacial-lake-in-iceland.mp4,PT00H00M19S,183901_183950,"Icebergs in jökulsárlón, a glacial lake in iceland"
34745143,https://ak.picdn.net/shutterstock/videos/34745143/preview/stock-footage-mesa-verde-national-park-unesco-world-heritage-colorado-usa-north-america-america.mp4,PT00H00M28S,108201_108250,"Mesa verde national park, unesco world heritage, colorado, usa, north america, america
"
1031588441,https://ak.picdn.net/shutterstock/videos/1031588441/preview/stock-footage--vrindavan-india-gaudiya-acarya-samadhis-holy-shrine-k-aerial.mp4,PT00H00M24S,193901_193950," vrindavan, india, ""gaudiya acarya samadhis,"" holy shrine 4k aerial 
"
1008163510,https://ak.picdn.net/shutterstock/videos/1008163510/preview/stock-footage-top-view-bright-collors-bubbles-slow-motion-oil-ink-is-fantastic-structure-of-colorful-chaotic.mp4,PT00H00M26S,061151_061200,Top view bright collors bubbles slow motion oil ink is fantastic structure of colorful chaotic motion bubbles
1029666521,https://ak.picdn.net/shutterstock/videos/1029666521/preview/stock-footage-florence-tuscany-italy-time-lapse-of-the-ponte-vecchio-old-bridge-is-a-medieval-stone-closed.mp4,PT00H00M10S,029451_029500,"Florence, tuscany, italy. time lapse of the ponte vecchio (""old bridge"") is a medieval stone closed-spandrel segmental arch bridge over the arno river. zoom effect"
1474372,https://ak.picdn.net/shutterstock/videos/1474372/preview/stock-footage-aerial-shot-of-clouds-and-water.mp4,PT00H00M15S,103551_103600,Aerial shot of clouds and water
1026020360,https://ak.picdn.net/shutterstock/videos/1026020360/preview/stock-footage-medieval-hill-town-in-istria-with-beautiful-valley-view-aerial-wide-angle.mp4,PT00H00M40S,143201_143250,"Medieval hill town in istria with beautiful valley view, aerial, wide angle"
6431870,https://ak.picdn.net/shutterstock/videos/6431870/preview/stock-footage-sugar-cube-falling-into-cup-of-tea-in-slow-motion.mp4,PT00H00M13S,003301_003350,Sugar cube falling into cup of tea in slow motion
1018941145,https://ak.picdn.net/shutterstock/videos/1018941145/preview/stock-footage-greek-blue-calm-sea-water-surface-with-little-rocky-island-and-skyline-greece-peloponnese-mani.mp4,PT00H00M13S,131701_131750,"Greek blue calm sea water surface with little rocky island and skyline, greece peloponnese mani peninsula"
1055295695,https://ak.picdn.net/shutterstock/videos/1055295695/preview/stock-footage--k-fresh-cut-pineapple-chunks-pineapple-slices-isolated.mp4,PT00H00M13S,024101_024150,4k fresh cut pineapple chunks. pineapple slices isolated.
1019965789,https://ak.picdn.net/shutterstock/videos/1019965789/preview/stock-footage-very-beautiful-girl-with-a-glass-of-champagne-in-the-new-year-s-decor.mp4,PT00H00M19S,179651_179700,Very beautiful girl with a glass of champagne in the new year's decor.
29652805,https://ak.picdn.net/shutterstock/videos/29652805/preview/stock-footage-a-young-woman-running-in-high-alpine-mountains.mp4,PT00H00M14S,187501_187550,A young woman running in high alpine mountains.
1012720004,https://ak.picdn.net/shutterstock/videos/1012720004/preview/stock-footage-bride-and-groom-at-wedding-day-walking-outdoors-on-spring-nature-bridal-couple-happy-newlywed.mp4,PT00H00M11S,125151_125200,"Bride and groom at wedding day walking outdoors on spring nature. bridal couple, happy newlywed woman and man embracing in green park. loving wedding couple outdoor. bride and groom"
1030984238,https://ak.picdn.net/shutterstock/videos/1030984238/preview/stock-footage-serious-african-american-young-man-with-glasses-look-at-camera-smile-posing-on-the-blue-and-violet.mp4,PT00H00M12S,065601_065650,Serious african american young man with glasses look at camera smile posing on the blue and violet neon light background attractive beard black blue boy bright cheerful slow motion
8356621,https://ak.picdn.net/shutterstock/videos/8356621/preview/stock-footage--k-shot-of-beautiful-and-erotic-sexy-pole-dancer-posing-and-dancing-in-club.mp4,PT00H00M12S,032951_033000,"4k shot of beautiful and erotic sexy pole dancer posing and dancing in club
"
1024072736,https://ak.picdn.net/shutterstock/videos/1024072736/preview/stock-footage-happy-woman-buys-a-new-car-she-is-sitting-at-the-wheel-smiling-and-holding-the-key.mp4,PT00H00M28S,108801_108850,Happy woman buys a new car. she is sitting at the wheel smiling and holding the key.
1023524590,https://ak.picdn.net/shutterstock/videos/1023524590/preview/stock-footage-pixel-art-glitch-i-love-you-with-tv-interference-dynamic-video-animation-for-colorful-holiday-retro.mp4,PT00H00M23S,077101_077150,Pixel art glitch i love you with tv interference dynamic video animation for colorful holiday retro futuristic style digital footage for valentine day
20652085,https://ak.picdn.net/shutterstock/videos/20652085/preview/stock-footage-abstract-background-with-binary-code-and-symbol-of-computer-technologies-on-display-screen.mp4,PT00H00M10S,017151_017200,Abstract background with binary code and symbol of computer technologies on display screen. animation of seamless loop.
